episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_0_payoff,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_1_payoff,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_2_payoff,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley,agent_3_payoff
4300,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,0.0,0.0,-0.3159722222222222,1.875,0.0,0.0,-0.3159722222222222,2.375,1.0,50.0,1.8229166666666667,1.875
4400,0.625,2.5,11.25,-0.32663316528058806,0.75,0.0,0.0,-0.7899305555555555,2.6875,0.0,0.0,-0.7899305555555555,3.1875,1.5,100.0,2.418402777777778,2.1875,1.0,50.0,1.3489583333333333,3.1875
4500,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,0.0,0.0,-0.3159722222222222,1.875,0.0,0.0,-0.3159722222222222,2.375,1.0,50.0,1.8229166666666667,1.875
4600,0.375,1.5,8.75,-0.28467153207510854,0.75,0.5,100.0,0.5954861111111112,1.3125,0.0,0.0,-0.4739583333333333,2.3125,0.0,0.0,-0.4739583333333333,2.8125,1.0,50.0,1.6649305555555558,2.3125
4700,0.3125,1.25,8.125,-0.22648083553364562,0.5,0.25,50.0,0.13975694444444442,1.34375,0.0,0.0,-0.39496527777777773,2.09375,0.0,0.0,-0.39496527777777773,2.59375,1.0,50.0,1.743923611111111,2.09375
4800,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,0.0,0.0,-0.3159722222222222,1.875,0.0,0.0,-0.3159722222222222,2.375,1.0,50.0,1.8229166666666667,1.875
4900,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,0.0,0.0,-0.3159722222222222,1.875,0.0,0.0,-0.3159722222222222,2.375,1.0,50.0,1.8229166666666667,1.875
5000,0.3125,1.25,8.125,-0.22648083553364562,0.5,0.25,50.0,0.13975694444444442,1.34375,0.0,0.0,-0.39496527777777773,2.09375,0.0,0.0,-0.39496527777777773,2.59375,1.0,50.0,1.743923611111111,2.09375
5100,0.0,0.0,5.0,1.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0
5200,0.0625,0.25,5.625,-0.1733333307587046,0.5,0.25,50.0,0.4557291666666667,0.46875,0.0,0.0,-0.07899305555555555,1.21875,0.0,0.0,-0.07899305555555555,1.71875,0.0,0.0,-0.07899305555555555,2.21875
5300,0.3125,1.25,8.125,-0.3266331647320304,0.75,0.5,100.0,0.6744791666666667,1.09375,0.0,0.0,-0.39496527777777773,2.09375,0.75,50.0,1.209201388888889,1.84375,0.0,0.0,-0.39496527777777773,3.09375
5400,0.5625,2.25,10.625,-0.49787233937656583,0.75,0.5,100.0,0.35850694444444453,1.96875,1.0,100.0,1.4279513888888888,1.96875,0.75,50.0,0.8932291666666667,2.71875,0.0,0.0,-0.7109375,3.96875
5500,0.4375,1.75,9.375,-0.5260115592419772,0.75,0.5,100.0,0.5164930555555556,1.53125,0.5,50.0,0.5164930555555556,2.03125,0.75,50.0,1.051215277777778,2.28125,0.0,0.0,-0.5529513888888888,3.53125
5600,0.5625,2.25,10.625,-0.49787233937656583,0.75,0.5,100.0,0.35850694444444453,1.96875,1.0,100.0,1.4279513888888888,1.96875,0.75,50.0,0.8932291666666667,2.71875,0.0,0.0,-0.7109375,3.96875
5700,0.375,1.5,8.75,-0.28467153207510854,0.75,0.5,100.0,0.5954861111111112,1.3125,0.0,0.0,-0.4739583333333333,2.3125,0.0,0.0,-0.4739583333333333,2.8125,1.0,50.0,1.6649305555555558,2.3125
5800,0.5,2.0,10.0,-0.24528301838458,0.75,0.0,0.0,-0.6319444444444444,2.25,0.5,50.0,0.4375,2.25,1.5,100.0,2.576388888888889,1.75,0.0,0.0,-0.6319444444444444,3.75
5900,0.0,0.0,5.0,1.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0
6000,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
6100,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,1.0,100.0,1.8229166666666667,0.875,0.0,0.0,-0.3159722222222222,2.375,0.0,0.0,-0.3159722222222222,2.875
